Paras, SEU Dorm, 40, 2016-07-23 10:14:55.722000
Weedle, SEU Dorm, 65, 2016-07-23 10:14:55.754000
Eevee, SEU Dorm, 33, 2016-07-23 10:14:55.788000
Rattata, SEU Dorm, 88, 2016-07-23 10:14:55.817000
Rattata, SEU Dorm, 128, 2016-07-23 10:14:55.849000
Rattata, SEU Dorm, 118, 2016-07-23 10:14:55.894000
Rattata, SEU Dorm, 12, 2016-07-23 10:14:55.927000
Rattata, SEU Dorm, 130, 2016-07-23 10:14:55.959000
Pidgey, SEU Dorm, 171, 2016-07-23 10:14:55.992000
Rattata, SEU Dorm, 78, 2016-07-23 10:14:56.023000
Doduo, SEU Dorm, 332, 2016-07-23 10:14:56.056000
Pidgey, SEU Dorm, 208, 2016-07-23 10:14:56.090000
Rattata, SEU Dorm, 238, 2016-07-23 10:14:56.121000
Paras, SEU Pika Lot, 341, 2016-07-23 10:15:05.127000
Weedle, SEU Pika Lot, 285, 2016-07-23 10:15:05.157000
Eevee, SEU Pika Lot, 335, 2016-07-23 10:15:05.192000
Rattata, SEU Pika Lot, 340, 2016-07-23 10:15:05.224000
Rattata, SEU Pika Lot, 356, 2016-07-23 10:15:05.256000
Rattata, SEU Pika Lot, 372, 2016-07-23 10:15:05.290000
Rattata, SEU Pika Lot, 360, 2016-07-23 10:15:05.325000
Rattata, SEU Pika Lot, 422, 2016-07-23 10:15:05.367000
Pidgey, SEU Pika Lot, 394, 2016-07-23 10:15:05.401000
Rattata, SEU Pika Lot, 346, 2016-07-23 10:15:05.434000
Pidgey, SEU Pika Lot, 160, 2016-07-23 10:15:05.465000
Rattata, SEU Pika Lot, 149, 2016-07-23 10:15:05.500000
Rattata, Travel Plaza Lot, 456, 2016-07-23 10:15:19.920000
Zubat, Travel Plaza Lot, 536, 2016-07-23 10:15:19.950000
Pidgey, Travel Plaza Lot, 399, 2016-07-23 10:15:19.979000
Rattata, Travel Plaza Lot, 480, 2016-07-23 10:15:20.008000
Doduo, SEU Pika Lot, 340, 2016-07-23 11:00:53.022000
Pidgey, SEU Pika Lot, 333, 2016-07-23 11:00:53.051000
Rattata, SEU Pika Lot, 360, 2016-07-23 11:00:53.081000
Rattata, SEU Pika Lot, 386, 2016-07-23 11:00:53.111000
Rattata, SEU Pika Lot, 434, 2016-07-23 11:00:53.140000
Weedle, Casino, 950, 2016-07-23 11:01:01.869000
Weedle, Casino, 975, 2016-07-23 11:01:01.898000
Rattata, Casino, 320, 2016-07-23 11:01:01.927000
Eevee, Casino, 217, 2016-07-23 11:01:01.958000
Rattata, Casino, 180, 2016-07-23 11:01:01.999000
Pidgey, Casino, 149, 2016-07-23 11:01:02.034000
Venonat, Casino, 419, 2016-07-23 11:01:02.063000
Rattata, Casino, 413, 2016-07-23 11:01:02.093000
Eevee, Casino, 381, 2016-07-23 11:01:02.122000
Weedle, Travel Plaza Lot, 1030, 2016-07-23 11:01:15.749000
Rattata, Travel Plaza Lot, 479, 2016-07-23 11:01:15.785000
Eevee, Travel Plaza Lot, 515, 2016-07-23 11:01:15.815000
Rattata, Travel Plaza Lot, 365, 2016-07-23 11:01:15.853000
Pidgey, Travel Plaza Lot, 516, 2016-07-23 11:01:15.886000
Venonat, Travel Plaza Lot, 61, 2016-07-23 11:01:15.922000
Rattata, Travel Plaza Lot, 80, 2016-07-23 11:01:15.954000
Eevee, Travel Plaza Lot, 114, 2016-07-23 11:01:15.986000
Pidgey, Travel Plaza Lot, 440, 2016-07-23 11:01:16.022000
Pidgey, Travel Plaza Lot, 480, 2016-07-23 11:01:16.076000
Pidgey, SEU Dorm, 58, 2016-07-23 11:08:03.519000
Poliwhirl, SEU Dorm, 332, 2016-07-23 11:08:03.553000
Eevee, SEU Dorm, 351, 2016-07-23 11:08:03.584000
Venonat, SEU Dorm, 369, 2016-07-23 11:08:03.614000
Pidgey, SEU Pika Lot, 333, 2016-07-23 11:08:11.926000
Poliwhirl, SEU Pika Lot, 30, 2016-07-23 11:08:11.958000
Eevee, SEU Pika Lot, 24, 2016-07-23 11:08:11.994000
Venonat, SEU Pika Lot, 30, 2016-07-23 11:08:12.025000
Pidgey, SEU Pika Lot, 341, 2016-07-23 11:08:12.058000
Rattata, SEU Pika Lot, 285, 2016-07-23 11:08:12.099000
Pidgey, SEU Pika Lot, 340, 2016-07-23 11:08:12.130000
Pidgey, SEU Pika Lot, 356, 2016-07-23 11:08:12.160000
Pinsir, SEU Pika Lot, 372, 2016-07-23 11:08:12.190000
Rattata, SEU Pika Lot, 360, 2016-07-23 11:08:12.223000
Rattata, SEU Pika Lot, 422, 2016-07-23 11:08:12.259000
Pidgey, SEU Pika Lot, 346, 2016-07-23 11:08:12.289000
Rattata, SEU Dorm, 212, 2016-07-23 11:30:42.817000
Rattata, SEU Dorm, 43, 2016-07-23 11:30:42.849000
Rattata, SEU Pika Lot, 180, 2016-07-23 11:30:50.462000
Rattata, SEU Pika Lot, 384, 2016-07-23 11:30:50.498000
Rattata, SEU Pika Lot, 405, 2016-07-23 11:30:50.529000
Rattata, Casino, 80, 2016-07-23 11:30:59.337000
Spearow, Casino, 59, 2016-07-23 11:30:59.371000
Doduo, Casino, 44, 2016-07-23 11:30:59.401000
Weedle, Casino, 180, 2016-07-23 11:30:59.430000
Rattata, Travel Plaza Lot, 516, 2016-07-23 11:31:06.877000
Spearow, Travel Plaza Lot, 538, 2016-07-23 11:31:06.910000
Doduo, Travel Plaza Lot, 475, 2016-07-23 11:31:06.939000
Weedle, Travel Plaza Lot, 469, 2016-07-23 11:31:06.973000
Rattata, 1ST and Main, 772, 2016-07-23 11:31:14.261000
Rattata, SEU Dorm, 43, 2016-07-23 11:33:00.720000
Rattata, SEU Dorm, 119, 2016-07-23 11:33:00.750000
Doduo, SEU Dorm, 359, 2016-07-23 11:33:00.793000
Rattata, SEU Dorm, 433, 2016-07-23 11:33:00.824000
Kakuna, SEU Dorm, 547, 2016-07-23 11:33:00.854000
Venonat, SEU Dorm, 557, 2016-07-23 11:33:00.885000
Rattata, SEU Pika Lot, 384, 2016-07-23 11:33:09.068000
Rattata, SEU Pika Lot, 405, 2016-07-23 11:33:09.099000
Doduo, SEU Pika Lot, 29, 2016-07-23 11:33:09.128000
Rattata, SEU Pika Lot, 513, 2016-07-23 11:33:09.158000
Kakuna, SEU Pika Lot, 637, 2016-07-23 11:33:09.200000
Venonat, SEU Pika Lot, 624, 2016-07-23 11:33:09.230000
Rattata, Casino, 80, 2016-07-23 11:33:17.362000
Spearow, Casino, 59, 2016-07-23 11:33:17.391000
Doduo, Casino, 44, 2016-07-23 11:33:17.421000
Venonat, Casino, 514, 2016-07-23 11:33:17.450000
Pidgey, Casino, 524, 2016-07-23 11:33:17.480000
Abra, Casino, 526, 2016-07-23 11:33:17.521000
Rattata, Casino, 436, 2016-07-23 11:33:17.551000
Doduo, Casino, 424, 2016-07-23 11:33:17.582000
Bellsprout, Casino, 514, 2016-07-23 11:33:17.611000
Rattata, Casino, 435, 2016-07-23 11:33:17.642000
Bulbasaur, Casino, 515, 2016-07-23 11:33:17.671000
Pidgey, Casino, 474, 2016-07-23 11:33:17.700000
Venonat, Casino, 577, 2016-07-23 11:33:17.729000
Pidgey, Casino, 577, 2016-07-23 11:33:17.758000
Rattata, Casino, 524, 2016-07-23 11:33:17.788000
Doduo, Casino, 505, 2016-07-23 11:33:17.817000
Spearow, Casino, 467, 2016-07-23 11:33:17.845000
Ekans, Casino, 474, 2016-07-23 11:33:17.875000
Doduo, Casino, 394, 2016-07-23 11:33:17.907000
Pidgey, Casino, 360, 2016-07-23 11:33:17.937000
Rattata, Casino, 421, 2016-07-23 11:33:17.966000
Rattata, Casino, 382, 2016-07-23 11:33:17.996000
Rattata, Travel Plaza Lot, 516, 2016-07-23 11:33:25.421000
Spearow, Travel Plaza Lot, 538, 2016-07-23 11:33:25.450000
Doduo, Travel Plaza Lot, 475, 2016-07-23 11:33:25.480000
Venonat, Travel Plaza Lot, 63, 2016-07-23 11:33:25.512000
Pidgey, Travel Plaza Lot, 57, 2016-07-23 11:33:25.542000
Abra, Travel Plaza Lot, 52, 2016-07-23 11:33:25.582000
Rattata, Travel Plaza Lot, 57, 2016-07-23 11:33:25.614000
Doduo, Travel Plaza Lot, 62, 2016-07-23 11:33:25.646000
Bellsprout, Travel Plaza Lot, 71, 2016-07-23 11:33:25.677000
Rattata, Travel Plaza Lot, 73, 2016-07-23 11:33:25.706000
Bulbasaur, Travel Plaza Lot, 56, 2016-07-23 11:33:25.737000
Pidgey, Travel Plaza Lot, 76, 2016-07-23 11:33:25.765000
